[17-Dec-2012 19:52:43 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[17-Dec-2012 19:52:48 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[17-Dec-2012 19:53:07 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[17-Dec-2012 19:53:13 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[17-Dec-2012 19:53:15 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[17-Dec-2012 19:54:26 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[17-Dec-2012 19:54:38 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[17-Dec-2012 19:54:57 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[20-Dec-2012 08:38:30 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[20-Dec-2012 12:15:15 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[21-Dec-2012 12:19:23 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[23-Dec-2012 19:20:27 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[23-Dec-2012 19:20:48 UTC] PHP Fatal error:  Call to undefined method Amasty_Pgrid_Helper_Data::getAllowedQtyMath() in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/ampgrid/js.phtml on line 13
[24-Dec-2012 06:56:14 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 06:56:18 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 06:56:21 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 06:56:27 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 06:56:30 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 06:56:32 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 08:09:12 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 08:09:28 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[24-Dec-2012 08:09:31 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[03-Jan-2013 12:41:34 UTC] PHP Fatal error:  Class 'Mage_Mgt_Base_Helper_Data' not found in /var/www/englishpirate.com/magento/app/Mage.php on line 546
[04-Jan-2013 06:30:15 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[05-Jan-2013 13:23:04 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[07-Jan-2013 03:48:37 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[07-Jan-2013 12:22:54 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[09-Jan-2013 07:06:00 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:06 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:09 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:12 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:16 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:19 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:23 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:25 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:29 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 06:44:33 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[12-Jan-2013 09:31:51 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[14-Jan-2013 09:53:22 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[14-Jan-2013 09:53:24 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[14-Jan-2013 09:53:26 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[14-Jan-2013 09:53:29 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[16-Jan-2013 06:06:12 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[16-Jan-2013 09:49:30 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[17-Jan-2013 10:38:47 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[17-Jan-2013 20:07:02 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[20-Jan-2013 12:39:07 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[22-Jan-2013 04:19:23 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[29-Jan-2013 23:33:58 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[31-Jan-2013 05:57:22 UTC] PHP Fatal error:  Call to a member function process() on a non-object in /var/www/englishpirate.com/magento/app/code/community/Ess/M2ePro/Model/Cron.php on line 169
[05-Feb-2013 17:50:10 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[05-Feb-2013 18:32:17 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[11-Feb-2013 10:10:05 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[12-Feb-2013 15:21:31 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[12-Feb-2013 15:51:12 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[15-Feb-2013 21:54:28 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[16-Feb-2013 14:38:39 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[20-Feb-2013 04:19:43 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[02-Mar-2013 12:03:56 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[02-Mar-2013 12:03:59 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
[03-Mar-2013 12:50:33 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[11-Mar-2013 03:52:53 America/Chicago] PHP Notice:  Undefined index: HTTP_HOST in /var/www/englishpirate.com/magento/index.php on line 77
[11-Mar-2013 10:04:02 UTC] PHP Fatal error:  Call to a member function getUsername() on a non-object in /var/www/englishpirate.com/magento/app/design/adminhtml/default/default/template/page/header.phtml on line 33
